subject,datestamp,timestamp,version,pur1,pur2,pur3,id
A3S7EWRS6P5UC0_m3r5,2014-08-19,17:17:58,lossave_moral,5,5,1,513
A3CD3C99T8S6ON_m3r5,2014-08-19,17:17:59,lossave_moral,5,2,5,514
A22KRF782ELLB0_m3r5,2014-08-19,17:18:03,lossave_moral,1,1,1,515
A2ALWT2BUSXD83_m3r5,2014-08-19,17:18:05,lossave_moral,4,6,4,516
AN25IBDC0DUO7_m3r5,2014-08-19,17:18:09,lossave_moral,3,2,1,517
A2UVEVCYVC553J_m3r5,2014-08-19,17:18:11,lossave_moral,6,2,3,518
A2AG0341RLZ2L8_m3r5,2014-08-19,17:18:12,lossave_moral,7,7,7,519
A35BNQU01DFD0D_m3r5,2014-08-19,17:18:25,lossave_moral,4,5,2,520
A3DTBL9NV7SDQC_m3r5,2014-08-19,17:18:27,lossave_moral,7,7,7,521
A162Z8CZSL0NG1_m3r5,2014-08-19,17:18:33,lossave_moral,2,6,2,522
A30EONSVHP1J0F_m3r5,2014-08-19,17:18:48,lossave_moral,7,6,4,523
A2EM7RPFW3DU9N_m3r5,2014-08-19,17:18:48,lossave_moral,5,7,2,524
A33AZCOKCCTUXV_m3r5,2014-08-19,17:18:57,lossave_moral,4,5,4,525
A1FB4RHFD0QZ3C_m3r5,2014-08-19,17:19:09,lossave_moral,7,7,5,526
A1ONILGBGJ8Y5K_m3r5,2014-08-19,17:19:11,lossave_moral,5,7,2,527
A2NA2OJT15COZY_m3r5,2014-08-19,17:19:13,lossave_moral,4,3,1,528
A3QSI8SVB5HJI7_m3r5,2014-08-19,17:19:21,lossave_moral,6,4,1,529
A1W36Q5THCHYUZ_m3r5,2014-08-19,17:19:23,lossave_moral,5,7,1,530
A26T6O5EFR54A9_m3r5,2014-08-19,17:19:39,lossave_moral,4,1,4,531
A70AS0KVKADBY_m3r5,2014-08-19,17:19:59,lossave_moral,7,7,5,532
A2D2XQP00IZFR1_m3r5,2014-08-19,17:20:02,lossave_moral,7,7,7,533
A23N4SC7GRNAIG_m3r5,2014-08-19,17:20:08,lossave_moral,6,7,4,534
A19RAQ7NSO6SGB_m3r5,2014-08-19,17:20:14,lossave_moral,1,1,1,535
A3RXVRZ0M163C0_m3r5,2014-08-19,17:20:38,lossave_moral,3,3,4,536
A2EO5AGNZ0EP8H_m3r5,2014-08-19,17:20:50,lossave_moral,7,7,5,537
A27BKFN6UB1LDP_m3r5,2014-08-19,17:20:52,lossave_moral,4,4,3,538
ANMC5ZLSMTY43_m3r5,2014-08-19,17:21:03,lossave_moral,4,6,1,539
A18SXC3JEN100U_m3r5,2014-08-19,17:21:24,lossave_moral,5,5,5,540
A1XB4TAGJDNMR_m3r5,2014-08-19,17:21:43,lossave_moral,6,4,3,541
AQL2N2W222GBS_m3r5,2014-08-19,17:21:51,lossave_moral,1,1,1,542
A3I4EEKYGS03T6_m3r5,2014-08-19,17:22:06,lossave_moral,3,7,1,543
ATVU7N0LN2VY3_m3r5,2014-08-19,17:23:49,lossave_moral,5,5,4,544
A107R5H91EUQ9X_m3r5,2014-08-19,17:23:51,lossave_moral,4,7,3,545
A3OJCWC178255T_m3r5,2014-08-19,17:24:32,lossave_moral,5,4,2,546
A3JTR8H8X5WF11_m3r5,2014-08-19,17:24:44,lossave_moral,7,7,4,547
A2GS6VJEP91PA9_m3r5,2014-08-19,17:26:01,lossave_moral,4,1,1,548
A2T114Z5BAQMFQ_m3r5,2014-08-19,17:27:29,lossave_moral,7,1,1,549
A77K8W55MJEKX_m3r5,2014-08-19,17:29:30,lossave_moral,7,7,5,550
A2NA2OJT15COZY_m3r5,2014-08-19,17:29:53,lossave_moral,5,3,1,551
A35LNMQUTP7IAF_m3r5,2014-08-19,17:32:02,lossave_moral,6,6,2,552
ALN8151AY0OUT_m3r5,2014-08-19,17:32:43,lossave_moral,5,7,3,553
A1CSDIX05PK9V_m3r5,2014-08-19,17:34:25,lossave_moral,1,1,1,554
A24FRISMWCU3BX_m3r5,2014-08-19,17:36:35,lossave_moral,7,7,4,555
A2YKYAZYVWOXBO_m3r5,2014-08-19,17:38:36,lossave_moral,5,7,6,556
A1OY40VC86UZZ5_m3r5,2014-08-19,17:40:56,lossave_moral,5,7,6,557
A1153ZIEQX0ZJ8_m3r5,2014-08-19,17:42:39,lossave_moral,7,7,1,558
A1GPG3WS6WMYRA_m3r5,2014-08-19,17:43:21,lossave_moral,7,7,2,559
A19BL9GZGXFWFT_m3r5,2014-08-19,17:43:51,lossave_moral,5,7,2,560
A3N0A01KQ1Z6CE_m3r5,2014-08-19,17:44:03,lossave_moral,5,7,1,561
AESUJGBP5G7OJ_m3r5,2014-08-19,17:44:35,lossave_moral,1,1,1,562
A83B7NCMVYPLW_m3r5,2014-08-19,17:44:57,lossave_moral,2,3,5,563
A2QVMCGDLTWV9_m3r5,2014-08-19,17:46:04,lossave_moral,1,1,1,564
AJMKH3WN5HAN7_m3r5,2014-08-19,17:46:55,lossave_moral,7,7,1,565
