subject,datestamp,timestamp,version,crt1,crt2,crt3,id,crt_score,,,,Correct answers:
A30RP0VO7WACHI_m3r5,8/19/2014,17:57:55,lossave_moral,5,5,47,540,3,,,,
A315IS7QIVORIT_m3r5,8/19/2014,17:26:02,lossave_moral,10,100,24,463,0,,,,
A318QP0E1HS9DX_m3r5,8/19/2014,17:04:08,lossave_moral,0,5,47,301,2,,,,
A31O5XYX80XD21_m3r5,8/19/2014,17:28:07,lossave_moral,10,100,24,482,0,,,,
A32MGSAQ6QL9CK_m3r5,8/19/2014,17:26:01,lossave_moral,0,5,47,461,2,,,,
A32VJLRWGMYGSU_m3r5,8/19/2014,17:17:17,lossave_moral,0,5,6,400,1,,,,
A332MXF8R3BG2Z_m3r5,8/19/2014,18:01:40,lossave_moral,10,100,24,543,0,,,,
A333JVWMKDSOF8_m3r5,8/19/2014,17:29:59,lossave_moral,5,20,47,499,2,,,,
A33AZCOKCCTUXV_m3r5,8/19/2014,17:26:56,lossave_moral,5,5,4,470,2,,,,
A34ZSF2JSRXIRP_m3r5,8/19/2014,17:11:57,lossave_moral,1,5,47,357,2,,,,
A350C6KKI33T7R _m3r5,8/19/2014,18:35:21,lossave_moral,0,100,24,557,0,,,,
A35BNQU01DFD0D_m3r5,8/19/2014,17:27:17,lossave_moral,0,100,12,472,0,,,,
A35LNMQUTP7IAF_m3r5,8/19/2014,17:42:35,lossave_moral,0,5,47,526,2,,,,
A35OGKV242IJ78_m3r5,8/19/2014,17:13:15,lossave_moral,10,5,47,373,2,,,,
A35QKJ6MGNT45D_m3r5,8/19/2014,17:28:18,lossave_moral,5,5,47,484,3,,,,
A35RGUQZRI1Q3M_m3r5,8/19/2014,17:07:12,lossave_moral,10,100,47,324,1,,,,
A35UUN98XNQJJS_m3r5,8/19/2014,17:21:35,lossave_moral,10,100,24,426,0,,,,
A3675LEANIPGBO_m3r5,8/19/2014,17:25:29,lossave_moral,0,5,47,458,2,,,,
